timestamp, name, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/04/19 16:40:10.846, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:12.847, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 79, 99 %, 39 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:40:12.848, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:12.849, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:12.850, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:14.851, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 79, 99 %, 38 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:40:14.853, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:14.853, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:14.854, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:16.855, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 80, 99 %, 38 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:40:16.856, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:16.857, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:16.858, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:18.859, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 79, 99 %, 39 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:40:18.860, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:18.861, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:18.862, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:20.863, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 79, 99 %, 37 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:40:20.863, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:20.864, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:20.865, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:22.866, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 80, 99 %, 40 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:40:22.867, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:22.868, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:22.869, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:24.870, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 79, 99 %, 38 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:40:24.871, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:24.872, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:24.873, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:26.874, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 79, 99 %, 39 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:40:26.874, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:26.875, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:26.876, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:28.877, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 80, 99 %, 38 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:40:28.878, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:28.879, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:28.879, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:30.880, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 79, 99 %, 39 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:40:30.882, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:30.883, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:30.883, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:32.884, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 79, 99 %, 37 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:40:32.886, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:32.886, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:32.887, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:34.888, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 80, 99 %, 38 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:40:34.889, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:40:34.890, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
